original_name,matched_name,latitude,longitude,type,score,status
bois de Canny,Rue du Bois Cany 76120 Le Grand-Quevilly,49.417888,1.051476,street,0.5560163636363636,review
La Divette,la Divette 49560 Lys-Haut-Layon,47.115333,-0.488824,street,0.6682197202797202,review
tour Rolland,Rue de la Tour Roland 60310 Lassigny,49.589206,2.837438,street,0.4606193939393939,review
Lataule,Lataule,49.541154,2.680288,municipality,0.5622218181818182,found
Montmartin,Montmartin 77120 Mouroux,48.827872,3.024046,locality,0.6669724475524474,found
Fresnières,Fresnières,49.622923,2.813712,municipality,0.6474460839160838,found
Haussu,Haussu 60310 Amy,49.623248,2.829244,street,0.5338568686868687,review
Catigny,Catigny,49.637121,2.955561,municipality,0.5641154545454544,found
Cuvilly,Cuvilly,49.553092,2.695049,municipality,0.5697163636363636,found
Chézy,Chézy,46.603235,3.479875,municipality,0.47400545454545456,found
Acy,Acy,49.350997,3.409817,municipality,0.3901136363636364,found
Bonneil,Bonneil,49.00552,3.347565,municipality,0.5674499999999999,found
Coincy,Coincy,49.166851,3.420158,municipality,0.5325923232323232,found
Villeneuve-sur-Fère,Villeneuve-sur-Fère,49.175922,3.475374,municipality,0.7645489256198347,found
Mont-Notre-Dame,Mont-Notre-Dame,49.291718,3.576586,municipality,0.7321379797979798,found
canal de l'Aisne,Rue du Canal de l'Aisne 51150 Condé-sur-Marne,49.047921,4.183267,street,0.6213736363636363,review
Vieil-Arcy,Rue de Vieil Arcy 02160 Pont-Arcy,49.389484,3.625973,street,0.5047261722488038,review
Hautes-Bruyères,Hautes Bruyères 08290 Blanchefosse-et-Bay,49.760791,4.268092,street,0.7318216161616161,review
Paars,Paars,49.327407,3.60099,municipality,0.4757281818181818,found
Seringes,Rue de Seringes 02130 Fère-en-Tardenois,49.199164,3.520083,street,0.4732793048128342,review
Cohan,Cohan 35590 Saint-Gilles,48.135949,-1.886527,street,0.49184363636363626,review
Saint-Gilles,Saint Gilles 68920 Wintzenheim,48.075155,7.263566,street,0.7161675757575757,review
Courlandon,Courlandon,49.312406,3.735364,municipality,0.650377902097902,found
Meurival,Meurival,49.358243,3.761284,municipality,0.592204214876033,found
Aisne,Aisne 44570 Trignac,47.322551,-2.220149,locality,0.49368636363636353,found
Grand-Hameau,Le Grand Hameau 50390 Biniville,49.431542,-1.485708,street,0.6715785026737968,review
Baslieux,Baslieux,49.435545,5.755326,municipality,0.6019714876033057,found
l'Aisne,Rue de l'Aisne 75019 Paris,48.890644,2.382549,street,0.455010909090909,review
Romain,258 Voie Romaine 06190 Roquebrune-Cap-Martin,43.753494,7.435249,housenumber,0.5984581818181818,review
Breuil,Le Breuil 37300 Joué-lès-Tours,47.339092,0.625881,street,0.5497586776859503,review
Unchair,Unchair,49.290315,3.747578,municipality,0.5643345454545454,found
Courville,Courville 72140 Rouez,48.138671,-0.084942,street,0.6346642424242424,review
10,N 10 78660 Ablis,48.530176,1.828102,locality,0.3386748484848484,found
Concevreux,Concevreux,49.375427,3.780278,municipality,0.6497051748251748,found
ferme Rouette,Route des 4 Fermes 76110 Saint-Sauveur-d'Émalleville,49.602358,0.304356,street,0.43539146245059285,review
Trois-Peupliers,Moulin des Trois Peupliers 11360 Fontjoncouse,43.056883,2.810691,street,0.5076966233766234,review
Cuiry-les-Chaudardes,Cuiry-lès-Chaudardes,49.386583,3.76998,municipality,0.7660799604743083,found
route de Pontavert,Route de Pontavert 02160 Craonne,49.439438,3.788257,street,0.7625834632034632,review
bois des Couleuvres,Rue des Bois de Couleur 97450 Saint-Louis,-21.286551,55.418407,street,0.5305503448275862,review
bois de Beau-Marais,Rue du Beau Marais 62100 Calais,50.944462,1.900793,street,0.5252181818181818,review
Corbeny,Corbeny,49.464115,3.824721,municipality,0.5711318181818181,found
Berrieux,Berrieux,49.487922,3.846598,municipality,0.597123305785124,found
château de Belval,Château de Belval 88210 Le Saulcy,48.409771,7.044728,street,0.7513563636363636,review
Goudelancourt,Rue de Goudelancourt 02350 Bucy-lès-Pierrepont,49.647717,3.899579,street,0.5668473553719008,review
Sissonne,Sissonne,49.570064,3.892236,municipality,0.6082114876033057,found
Maison-Bleue,Maison bleue 40090 Cère,43.993355,-0.546843,locality,0.6922684848484848,found
Thuillots,Lieu-dit Thuillot 90400 Vézelois,47.615119,6.895141,locality,0.39332181818181816,found
bois Bas,Bois Bas 42520 Roisey,45.405243,4.657105,locality,0.6081087603305785,found
Hundingstellung,,,,,,not_found
La Selve,La Selve 31370 Savères,43.37364,1.116297,street,0.6060960330578512,review
Maison-Blanche,Maison Blanche 35132 Vezin-le-Coquet,48.117718,-1.727764,street,0.7395135294117646,review
château de la Garenne,Chateau de la Garenne 60129 Glaignes,49.266171,2.847654,street,0.7825748484848485,review
buisson Riquette,Rue de Roquette Buisson 65400 Argelès-Gazost,43.004115,-0.102322,street,0.4686361038961039,review
Petit-Simon-le-Grand,Le Petit Bois Simon 37800 Pussigny,46.983703,0.559885,street,0.44523155844155843,review
Saint-Erme,Rue de Saint-erme 02820 Montaigu,49.534138,3.83538,street,0.5177307177033492,review
Renneville,Renneville,49.401142,1.324173,street,0.6612842657342656,review
Fraillicourt,Fraillicourt,49.664575,4.162483,municipality,0.6851230303030302,found
Epernay,Épernay,49.040236,3.960527,municipality,0.5859154545454545,found
Charleroi,288 la Charlerie 37340 Hommes,47.408526,0.253159,housenumber,0.5655248128342246,review
Pontavert,Pontavert,49.409946,3.821144,municipality,0.6302042424242423,found
Châlons,Chalons 40230 Saint-Vincent-de-Tyrosse,43.667668,-1.286128,street,0.5863363636363635,review
Saint-Dizier,Saint-Dizier,48.638926,4.957021,municipality,0.7072875757575757,found
Toul,Ty Toul 29450 Sizun,48.4317,-4.075132,street,0.44375585858585853,review
Delme,Delme,48.887765,6.390983,municipality,0.48159818181818176,found
Château-Salins,Château-Salins,48.820539,6.501427,municipality,0.7253726203208555,found
Dieuze,Dieuze,48.811468,6.720321,municipality,0.5361277777777778,found
Sarreguemines,Sarreguemines,49.110922,7.07705,municipality,0.7219136363636364,found
Palatinat,Rue du Palatinat 57070 Metz,49.115195,6.232136,street,0.5140709090909091,review
Saint-Ingbert,Saint-Martin 83300 Draguignan,43.531387,6.502383,street,0.36875909090909087,review
Reims,Reims,49.250948,4.055595,municipality,0.5045163636363637,found
canal de la Marne à l'Aisne,Chemin du Canal de Perrin 97111 Morne-à-l'Eau,16.303892,-61.512691,street,0.3524593939393939,review
la Meuse,Rue de la Meuse 31500 Toulouse,43.582776,1.484166,street,0.49544385026737964,review
